# -------------------------------------------------------
# App: com.phil.exchange.year, date: 20140116-20140214
# -------------------------------------------------------

date,device,current_device_installs,daily_device_installs,daily_device_uninstalls,daily_device_upgrades,current_user_installs,total_user_installs,daily_user_installs,daily_user_uninstalls
20140205,Samsung Galaxy S3 (m0),1,0,0,0,1,1,0,0
20140205,Samsung Galaxy S4 (ja3g),2,0,0,0,2,2,0,0
20140205,Samsung Galaxy S3 Mini (goldenltevzw),1,0,0,0,1,1,0,0
20140205,Samsung Galaxy Tab2 7.0 (espressorf),0,0,0,0,0,1,0,0
20140205,HTC HTC One X (endeavoru),1,0,0,0,1,1,0,0
20140205,HTC HTC Butterfly (dlxub1),2,0,0,0,2,2,0,0
20140205,HTC HTC 9060 (dlxpul),1,0,0,0,1,1,0,0
20140205,Samsung Galaxy Win (delos3geur),0,0,0,0,0,1,0,0
20140205,HTC HTC_7060 (cp5dug),0,0,0,0,0,1,0,0
20140205,Motorola Droid II (cdma_droid2we),1,0,0,0,1,1,0,0
20140205,HTC Desire (bravo),0,0,0,0,0,1,0,0
20140205,Samsung Galaxy S2 (SHW-M250K),0,0,0,0,0,1,0,0
20140205,Samsung Galaxy Proclaim (SCH-S720C),0,0,0,0,0,1,0,0
20140205,Sony Ericsson LT18i (LT18i),1,0,0,0,1,1,0,0
20140205,Samsung Galaxy S2 (GT-I9100),1,0,0,0,1,1,0,0
20140205,Sony Ericsson Xperia Z (C6602),2,0,0,0,2,2,0,0
20140205,Sony Ericsson Xperia L (C2105),0,0,0,0,0,1,0,0
20140205,C1904,0,0,0,0,0,1,0,0
20140204,HTC HTC J Z321e (valentewxc9),1,0,0,0,1,1,0,0
20140204,Samsung Galaxy Note II (t03g),1,0,0,0,1,1,0,0
20140204,Google Nexus 4 (mako),1,0,0,0,1,1,0,0
20140204,HTC HTC One (m7),2,0,0,0,2,2,0,0
20140204,Samsung Galaxy S3 (m0),1,0,0,0,1,1,0,0
20140204,Samsung Galaxy S4 (ja3g),2,0,0,0,2,2,0,0
20140204,Samsung Galaxy S3 Mini (goldenltevzw),1,0,0,0,1,1,0,0
20140204,Samsung Galaxy Tab2 7.0 (espressorf),0,0,0,0,0,1,0,0
20140204,HTC HTC One X (endeavoru),1,0,0,0,1,1,0,0
20140204,HTC HTC Butterfly (dlxub1),2,0,0,0,2,2,0,0
20140204,HTC HTC 9060 (dlxpul),1,0,0,0,1,1,0,0
20140204,Samsung Galaxy Win (delos3geur),0,0,0,0,0,1,0,0
20140204,HTC HTC_7060 (cp5dug),0,0,0,0,0,1,0,0
20140204,Motorola Droid II (cdma_droid2we),1,0,0,0,1,1,0,0
20140204,HTC Desire (bravo),0,0,0,0,0,1,0,0
20140204,Samsung Galaxy S2 (SHW-M250K),0,0,0,0,0,1,0,0
20140204,Samsung Galaxy Proclaim (SCH-S720C),0,0,0,0,0,1,0,0
20140204,Sony Ericsson LT18i (LT18i),1,0,0,0,1,1,0,0
20140204,Samsung Galaxy S2 (GT-I9100),1,0,0,0,1,1,0,0
20140204,Sony Ericsson Xperia Z (C6602),2,0,0,0,2,2,0,0
20140204,Sony Ericsson Xperia L (C2105),0,0,0,0,0,1,0,0
20140204,C1904,0,0,0,0,0,1,0,0
20140203,HTC HTC J Z321e (valentewxc9),1,0,0,0,1,1,0,0
20140203,Samsung Galaxy Note II (t03g),1,0,0,0,1,1,0,0
20140203,Google Nexus 4 (mako),1,0,0,0,1,1,0,0
20140203,HTC HTC One (m7),2,0,0,0,2,2,0,0
20140203,Samsung Galaxy S3 (m0),1,0,0,0,1,1,0,0
20140203,Samsung Galaxy S4 (ja3g),2,0,0,0,2,2,0,0
20140203,Samsung Galaxy S3 Mini (goldenltevzw),1,0,0,1,1,1,0,0
20140203,Samsung Galaxy Tab2 7.0 (espressorf),0,0,0,0,0,1,0,0
20140203,HTC HTC One X (endeavoru),1,0,0,0,1,1,0,0
20140203,HTC HTC Butterfly (dlxub1),2,0,0,0,2,2,0,0
20140203,HTC HTC 9060 (dlxpul),1,0,0,0,1,1,0,0
20140203,Samsung Galaxy Win (delos3geur),0,0,0,0,0,1,0,0
20140203,HTC HTC_7060 (cp5dug),0,0,0,0,0,1,0,0
20140203,Motorola Droid II (cdma_droid2we),1,0,0,0,1,1,0,0
20140203,HTC Desire (bravo),0,0,0,0,0,1,0,0
20140203,Samsung Galaxy S2 (SHW-M250K),0,0,0,0,0,1,0,0
20140203,Samsung Galaxy Proclaim (SCH-S720C),0,0,0,0,0,1,0,0
20140203,Sony Ericsson LT18i (LT18i),1,0,0,0,1,1,0,0
20140203,Samsung Galaxy S2 (GT-I9100),1,0,0,0,1,1,0,0
20140203,Sony Ericsson Xperia Z (C6602),2,0,0,0,2,2,0,0
20140203,Sony Ericsson Xperia L (C2105),0,0,0,0,0,1,0,0
20140203,C1904,0,0,0,0,0,1,0,0
20140202,HTC HTC J Z321e (valentewxc9),1,0,0,0,1,1,0,0
20140202,Samsung Galaxy Note II (t03g),1,0,0,0,1,1,0,0
20140202,Google Nexus 4 (mako),1,0,0,0,1,1,0,0
20140202,HTC HTC One (m7),2,0,0,0,2,2,0,0
20140202,Samsung Galaxy S3 (m0),1,0,0,0,1,1,0,0
20140202,Samsung Galaxy S4 (ja3g),2,0,0,0,2,2,0,0
20140202,Samsung Galaxy S3 Mini (goldenltevzw),1,0,0,0,1,1,0,0
20140202,Samsung Galaxy Tab2 7.0 (espressorf),0,0,0,0,0,1,0,0
20140202,HTC HTC One X (endeavoru),1,0,0,0,1,1,0,0
20140202,HTC HTC Butterfly (dlxub1),2,0,0,0,2,2,0,0
20140202,HTC HTC 9060 (dlxpul),1,0,0,0,1,1,0,0
20140202,Samsung Galaxy Win (delos3geur),0,0,0,0,0,1,0,0
20140202,HTC HTC_7060 (cp5dug),0,0,0,0,0,1,0,0
20140202,Motorola Droid II (cdma_droid2we),1,0,0,0,1,1,0,0
20140202,HTC Desire (bravo),0,0,0,0,0,1,0,0
20140202,Samsung Galaxy S2 (SHW-M250K),0,0,0,0,0,1,0,0
20140202,Samsung Galaxy Proclaim (SCH-S720C),0,1,1,0,0,1,1,1
20140202,Sony Ericsson LT18i (LT18i),1,0,0,0,1,1,0,0
20140202,Samsung Galaxy S2 (GT-I9100),1,0,0,0,1,1,0,0
20140202,Sony Ericsson Xperia Z (C6602),2,0,0,0,2,2,0,0
20140202,Sony Ericsson Xperia L (C2105),0,0,0,0,0,1,0,0
20140202,C1904,0,0,0,0,0,1,0,0
20140201,HTC HTC J Z321e (valentewxc9),1,0,0,0,1,1,0,0
20140201,Samsung Galaxy Note II (t03g),1,0,0,0,1,1,0,0
20140201,Google Nexus 4 (mako),1,0,0,0,1,1,0,0
20140201,HTC HTC One (m7),2,0,0,0,2,2,0,0
20140201,Samsung Galaxy S3 (m0),1,0,0,0,1,1,0,0
20140201,Samsung Galaxy S4 (ja3g),2,0,0,1,2,2,0,0
20140201,Samsung Galaxy S3 Mini (goldenltevzw),1,0,0,0,1,1,0,0
20140201,Samsung Galaxy Tab2 7.0 (espressorf),0,0,0,0,0,1,0,0
20140201,HTC HTC One X (endeavoru),1,0,0,0,1,1,0,0
20140201,HTC HTC Butterfly (dlxub1),2,0,0,0,2,2,0,0
20140201,HTC HTC 9060 (dlxpul),1,0,0,0,1,1,0,0
20140201,Samsung Galaxy Win (delos3geur),0,0,0,0,0,1,0,0
20140201,HTC HTC_7060 (cp5dug),0,0,0,0,0,1,0,0
20140201,Motorola Droid II (cdma_droid2we),1,0,0,0,1,1,0,0
20140201,HTC Desire (bravo),0,0,0,0,0,1,0,0
20140201,Samsung Galaxy S2 (SHW-M250K),0,0,0,0,0,1,0,0
20140201,Sony Ericsson LT18i (LT18i),1,0,0,0,1,1,0,0
20140201,Samsung Galaxy S2 (GT-I9100),1,0,0,0,1,1,0,0
20140201,Sony Ericsson Xperia Z (C6602),2,0,0,1,2,2,0,0
20140201,Sony Ericsson Xperia L (C2105),0,0,0,0,0,1,0,0
20140201,C1904,0,0,0,0,0,1,0,0
20140131,HTC HTC J Z321e (valentewxc9),1,0,0,1,1,1,0,0
20140131,Samsung Galaxy Note II (t03g),1,0,0,0,1,1,0,0
20140131,Google Nexus 4 (mako),1,0,0,0,1,1,0,0
20140131,HTC HTC One (m7),2,0,0,0,2,2,0,0
20140131,Samsung Galaxy S3 (m0),1,0,0,0,1,1,0,0
20140131,Samsung Galaxy S4 (ja3g),2,0,0,1,2,2,0,0
20140131,Samsung Galaxy S3 Mini (goldenltevzw),1,0,0,0,1,1,0,0
20140131,Samsung Galaxy Tab2 7.0 (espressorf),0,0,0,0,0,1,0,0
20140131,HTC HTC One X (endeavoru),1,0,0,0,1,1,0,0
20140131,HTC HTC Butterfly (dlxub1),2,0,0,1,2,2,0,0
20140131,HTC HTC 9060 (dlxpul),1,0,0,1,1,1,0,0
20140131,Samsung Galaxy Win (delos3geur),0,0,0,0,0,1,0,0
20140131,HTC HTC_7060 (cp5dug),0,0,0,0,0,1,0,0
20140131,Motorola Droid II (cdma_droid2we),1,0,0,0,1,1,0,0
20140131,HTC Desire (bravo),0,0,0,0,0,1,0,0
20140131,Samsung Galaxy S2 (SHW-M250K),0,0,0,0,0,1,0,0
20140131,Sony Ericsson LT18i (LT18i),1,0,0,0,1,1,0,0
20140131,Samsung Galaxy S2 (GT-I9100),1,0,0,0,1,1,0,0
20140131,Sony Ericsson Xperia Z (C6602),2,0,0,1,2,2,0,0
20140131,Sony Ericsson Xperia L (C2105),0,0,0,0,0,1,0,0
20140131,C1904,0,0,0,0,0,1,0,0
20140130,HTC HTC J Z321e (valentewxc9),0,0,0,0,0,1,0,0
20140130,Samsung Galaxy Note II (t03g),1,0,0,0,1,1,0,0
20140130,Google Nexus 4 (mako),1,0,0,0,1,1,0,0
20140130,HTC HTC One (m7),2,0,0,1,2,2,0,0
20140130,Samsung Galaxy S3 (m0),1,0,0,1,1,1,0,0
20140130,Samsung Galaxy S4 (ja3g),2,0,0,0,2,2,0,0
20140130,Samsung Galaxy S3 Mini (goldenltevzw),1,0,0,0,1,1,0,0
20140130,Samsung Galaxy Tab2 7.0 (espressorf),0,0,0,0,0,1,0,0
20140130,HTC HTC One X (endeavoru),1,0,0,1,1,1,0,0
20140130,HTC HTC Butterfly (dlxub1),2,0,0,0,2,2,0,0
20140130,HTC HTC 9060 (dlxpul),1,0,0,0,1,1,0,0
20140130,Samsung Galaxy Win (delos3geur),0,0,0,0,0,1,0,0
20140130,HTC HTC_7060 (cp5dug),0,0,0,0,0,1,0,0
20140130,Motorola Droid II (cdma_droid2we),1,0,0,1,1,1,0,0
20140130,HTC Desire (bravo),0,0,0,0,0,1,0,0
20140130,Samsung Galaxy S2 (SHW-M250K),0,0,0,0,0,1,0,0
20140130,Sony Ericsson LT18i (LT18i),1,0,0,0,1,1,0,0
20140130,Samsung Galaxy S2 (GT-I9100),1,0,0,0,1,1,0,0
20140130,Sony Ericsson Xperia Z (C6602),2,0,0,0,2,2,0,0
20140130,Sony Ericsson Xperia L (C2105),0,0,0,0,0,1,0,0
20140130,C1904,0,0,0,0,0,1,0,0
20140129,HTC HTC J Z321e (valentewxc9),0,0,1,0,0,1,0,1
20140129,Samsung Galaxy Note II (t03g),1,0,0,0,1,1,0,0
20140129,Google Nexus 4 (mako),1,0,0,0,1,1,0,0
20140129,HTC HTC One (m7),2,0,0,0,2,2,0,0
