# -------------------------------------------------------
# App: com.phil.exchange.year, date: 20140116-20140214
# -------------------------------------------------------

date,device,daily_avg_rating,total_avg_rating
20140203,Sony Ericsson LT18i (LT18i),0.0,5.0
20140203,Samsung Galaxy S2 (GT-I9100),0.0,5.0
20140203,Sony Ericsson Xperia Z1 (C6902),0.0,5.0
20140203,C1904,0.0,5.0
20140202,HTC HTC J Z321e (valentewxc9),0.0,5.0
20140202,Samsung Galaxy Note II (t03g),0.0,5.0
20140202,Google Nexus 4 (mako),0.0,5.0
20140202,HTC HTC One (m7),0.0,5.0
20140202,Samsung Galaxy S3 (m0),0.0,5.0
20140202,Samsung Galaxy S4 (ja3g),0.0,5.0
20140202,HTC HTC One X (endeavoru),0.0,5.0
20140202,HTC HTC Butterfly (dlxub1),0.0,5.0
20140202,HTC HTC_7060 (cp5dug),0.0,5.0
20140202,Sony Ericsson LT18i (LT18i),0.0,5.0
20140202,Samsung Galaxy S2 (GT-I9100),0.0,5.0
20140202,Sony Ericsson Xperia Z1 (C6902),0.0,5.0
20140202,C1904,0.0,5.0
20140201,HTC HTC J Z321e (valentewxc9),0.0,5.0
20140201,Samsung Galaxy Note II (t03g),0.0,5.0
20140201,Google Nexus 4 (mako),0.0,5.0
20140201,HTC HTC One (m7),0.0,5.0
20140201,Samsung Galaxy S3 (m0),0.0,5.0
20140201,Samsung Galaxy S4 (ja3g),0.0,5.0
20140201,HTC HTC One X (endeavoru),0.0,5.0
20140201,HTC HTC Butterfly (dlxub1),0.0,5.0
20140201,HTC HTC_7060 (cp5dug),0.0,5.0
20140201,Sony Ericsson LT18i (LT18i),0.0,5.0
20140201,Samsung Galaxy S2 (GT-I9100),0.0,5.0
20140201,Sony Ericsson Xperia Z1 (C6902),0.0,5.0
20140201,C1904,0.0,5.0
20140131,HTC HTC J Z321e (valentewxc9),0.0,5.0
20140131,Samsung Galaxy Note II (t03g),0.0,5.0
20140131,Google Nexus 4 (mako),0.0,5.0
20140131,HTC HTC One (m7),0.0,5.0
20140131,Samsung Galaxy S3 (m0),0.0,5.0
20140131,Samsung Galaxy S4 (ja3g),0.0,5.0
20140131,HTC HTC One X (endeavoru),0.0,5.0
20140131,HTC HTC Butterfly (dlxub1),0.0,5.0
20140131,HTC HTC_7060 (cp5dug),0.0,5.0
20140131,Sony Ericsson LT18i (LT18i),0.0,5.0
20140131,Samsung Galaxy S2 (GT-I9100),0.0,5.0
20140131,Sony Ericsson Xperia Z1 (C6902),0.0,5.0
20140131,C1904,0.0,5.0
20140130,HTC HTC J Z321e (valentewxc9),0.0,5.0
20140130,Samsung Galaxy Note II (t03g),0.0,5.0
20140130,Google Nexus 4 (mako),0.0,5.0
20140130,HTC HTC One (m7),0.0,5.0
20140130,Samsung Galaxy S3 (m0),0.0,5.0
20140130,Samsung Galaxy S4 (ja3g),0.0,5.0
20140130,HTC HTC One X (endeavoru),0.0,5.0
20140130,HTC HTC Butterfly (dlxub1),0.0,5.0
