# -------------------------------------------------------
# App: com.phil.exchange.year, date: 20140116-20140214
# -------------------------------------------------------

date,os_version,current_device_installs,daily_device_installs,daily_device_uninstalls,daily_device_upgrades,current_user_installs,total_user_installs,daily_user_installs,daily_user_uninstalls
20140123,Android 4.1,5,0,0,0,5,7,0,0
20140123,Android 4.0.3 - 4.0.4,1,0,0,0,1,1,0,0
20140123,Android 2.3.3 - 2.3.7,1,0,0,0,1,2,0,0
20140122,Android 2.2,1,0,0,0,1,1,0,0
20140122,Android 4.4,1,0,0,0,1,1,0,0
20140122,Android 4.3,3,0,0,0,3,3,0,0
20140122,Android 4.2,4,0,0,0,4,4,0,0
20140122,Android 4.1,5,0,0,0,5,7,0,0
20140122,Android 4.0.3 - 4.0.4,1,0,0,0,1,1,0,0
20140122,Android 2.3.3 - 2.3.7,1,0,0,0,1,2,0,0
20140121,Android 2.2,1,0,0,0,1,1,0,0
20140121,Android 4.4,1,0,0,0,1,1,0,0
20140121,Android 4.3,3,0,0,0,3,3,0,0
20140121,Android 4.2,4,1,0,0,4,4,1,0
20140121,Android 4.1,5,1,0,0,5,7,1,0
20140121,Android 4.0.3 - 4.0.4,1,0,0,0,1,1,0,0
20140121,Android 2.3.3 - 2.3.7,1,0,0,0,1,2,0,0
20140120,Android 2.2,1,0,0,0,1,1,0,0
20140120,Android 4.4,1,0,0,0,1,1,0,0
20140120,Android 4.3,3,0,0,0,3,3,0,0
20140120,Android 4.2,3,1,0,0,3,3,1,0
20140120,Android 4.1,4,0,1,0,4,6,0,1
20140120,Android 4.0.3 - 4.0.4,1,0,0,0,1,1,0,0
20140120,Android 2.3.3 - 2.3.7,1,0,0,0,1,2,0,0
20140119,Android 2.2,1,0,0,0,1,1,0,0
20140119,Android 4.4,1,0,0,0,1,1,0,0
20140119,Android 4.3,3,0,0,0,3,3,0,0
20140119,Android 4.2,2,0,0,0,2,2,0,0
20140119,Android 4.1,5,1,0,0,5,6,1,0
20140119,Android 4.0.3 - 4.0.4,1,1,0,0,1,1,1,0
20140119,Android 2.3.3 - 2.3.7,1,1,1,0,1,2,1,1
20140118,Android 2.2,1,0,0,0,1,1,0,0
20140118,Android 4.4,1,0,0,0,1,1,0,0
20140118,Android 4.3,3,0,0,0,3,3,0,0
20140118,Android 4.2,2,0,0,0,2,2,0,0
